Title,Price_Raw,Price_PKR,Size_Raw,Size_Marla,Listing_URL,City,Property_Type
Aristo Spanish Villa For Sale,1.79 Crore,17900000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_aristo_spanish_villa_for_sale-53962902-8433-1.html,Jhelum,House
5 Marla D Block Designer Concept House For Sale,1.6 Crore,16000000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_5_marla_d_block_designer_concept_house_for_sale-54649736-8433-1.html,Jhelum,House
7 Marla Spanish House For Sale In Citi Housing Jhelum,2.75 Crore,27500000.0,7.0 Marla,7.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_7_marla_spanish_house_for_sale_in_citi_housing_jhelum-54661453-8433-1.html,Jhelum,House
Beautiful Luxurious Designer House At 1 Kanal,11.3 Crore,113000000.0,1.0 Kanal,20.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_beautiful_luxurious_designer_house_at_1_kanal-54563344-8433-1.html,Jhelum,House
Citi Housing Jhelum 5bed Rooms 2 Kitchen House Available In Reasonable Price And Location Is So Good,2.2 Crore,22000000.0,7.0 Marla,7.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_citi_housing_jhelum_5bed_rooms_2_kitchen_house_available_in_reasonable_price_and_location_is_so_good-53280551-8433-1.html,Jhelum,House
A Huge Game Changer House For Citi Housing And One And Only 7 Marla House 6rooms And 2 Kitchen Double Highted,2.65 Crore,26500000.0,7.0 Marla,7.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_a_huge_game_changer_house_for_citi_housing_and_one_and_only_7_marla_house_6rooms_and_2_kitchen_double_highted-54116597-8433-1.html,Jhelum,House
Buying A House In Citi Housing Scheme?,2.5 Crore,25000000.0,7.0 Marla,7.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_buying_a_house_in_citi_housing_scheme-47138255-8433-1.html,Jhelum,House
BRAND NEW DESIGNER FULLY FURNISHED,10.45 Crore,104500000.0,1.0 Kanal,20.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_brand_new_designer_fully_furnished-54440657-8433-1.html,Jhelum,House
5 Marla Beautiful Near To House Available For Sale In Citi Housing Jhelum,2.0 Crore,20000000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_5_marla_beautiful_near_to_house_available_for_sale_in_citi_housing_jhelum-52600505-8433-1.html,Jhelum,House
Luxury Villas For Sale In Citi Housing Jhelum | Smart Homes By Lux Apatments With Easy Installment Plans,6.5 Crore,65000000.0,10.0 Marla,10.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_luxury_villas_for_sale_in_citi_housing_jhelum_smart_homes_by_lux_apatments_with_easy_installment_plans-52016704-8433-1.html,Jhelum,House
