Title,Price_Raw,Price_PKR,Size_Raw,Size_Marla,Listing_URL,City,Property_Type,Bedrooms,Bathrooms,Location,Price_per_Marla,Area,Area_Grouped
5 Marla Modern House Available For Sale In Citi Housing Gujranwala,1.78 Crore,17800000.0,5.0 Marla,5.0,https://www.zameen.com/Property/gujranwala_citi_housing_society_5_marla_modern_house_available_for_sale_in_citi_housing_gujranwala-54561528-3083-1.html,Gujranwala,House,4.0,5.0,"Citi Housing Society, Gujranwala, Punjab",3560000.0,Citi Housing Society,Citi Housing Society
Aesthetic Good Location House Of 6 Marla For Sale Is Available,2.05 Crore,20500000.0,6.0 Marla,6.0,https://www.zameen.com/Property/dha_sector_a_dha_sector_a_-_rachna_villas_aesthetic_good_location_house_of_6_marla_for_sale_is_available-52298398-21898-1.html,Gujranwala,House,4.0,4.0,"DHA Defence, Gujranwala, Punjab",3416666.6666666665,DHA Defence,DHA Defence
10 Marla Brand New Modern House For Sale In Royal Palm City Gujranwala,4.0 Crore,40000000.0,10.0 Marla,10.0,https://www.zameen.com/Property/eminabad_more_royal_palm_city_10_marla_brand_new_modern_house_for_sale_in_royal_palm_city_gujranwala-54579442-11297-1.html,Gujranwala,House,6.0,6.0,"Eminabad More, Gujranwala, Punjab",4000000.0,Eminabad More,Eminabad More
Your Dream On Excellent Location 10 Marla House Is Available In Citi Housing Phase 1 - Block BB,4.5 Crore,45000000.0,10.0 Marla,10.0,https://www.zameen.com/Property/citi_housing_phase_1_citi_housing_phase_1_-_block_bb_your_dream_on_excellent_location_10_marla_house_is_available_in_citi_housing_phase_1_-_block_bb-54590856-20421-1.html,Gujranwala,House,5.0,5.0,"Citi Housing Society, Gujranwala, Punjab",4500000.0,Citi Housing Society,Citi Housing Society
Find Your Ideal Good Location House In Gujranwala Under Rs. 44000000,4.4 Crore,44000000.0,10.0 Marla,10.0,https://www.zameen.com/Property/garden_town_garden_town_phase_3_find_your_ideal_good_location_house_in_gujranwala_under_rs_44000000-54587212-20133-1.html,Gujranwala,House,5.0,6.0,"Garden Town, Gujranwala, Punjab",4400000.0,Garden Town,Garden Town
Get An Attractive Good Location House In Gujranwala Under Rs. 43000000,4.3 Crore,43000000.0,10.0 Marla,10.0,https://www.zameen.com/Property/garden_town_garden_town_phase_3_get_an_attractive_good_location_house_in_gujranwala_under_rs_43000000-54587211-20133-1.html,Gujranwala,House,5.0,6.0,"Garden Town, Gujranwala, Punjab",4300000.0,Garden Town,Garden Town
A Good Location House Of 10 Marla In Gujranwala,4.6 Crore,46000000.0,10.0 Marla,10.0,https://www.zameen.com/Property/garden_town_garden_town_phase_3_a_good_location_house_of_10_marla_in_gujranwala-54587214-20133-1.html,Gujranwala,House,5.0,6.0,"Garden Town, Gujranwala, Punjab",4600000.0,Garden Town,Garden Town
Get In Touch Now To Buy A Good Location 10 Marla House In Garden Town Phase 3,4.5 Crore,45000000.0,10.0 Marla,10.0,https://www.zameen.com/Property/garden_town_garden_town_phase_3_get_in_touch_now_to_buy_a_good_location_10_marla_house_in_garden_town_phase_3-54587213-20133-1.html,Gujranwala,House,5.0,6.0,"Garden Town, Gujranwala, Punjab",4500000.0,Garden Town,Garden Town
Iqbal Town Rahwali Street 5 . . 6 Marla House For Sale,1.5 Crore,15000000.0,6.0 Marla,6.0,https://www.zameen.com/Property/gujranwala_allama_iqbal_town_iqbal_town_rahwali_street_5_6_marla_house_for_sale-54170920-8840-1.html,Gujranwala,House,4.0,6.0,"Allama Iqbal Town, Gujranwala, Punjab",2500000.0,Allama Iqbal Town,Other
10 Marla Ultra Modern House Available For Sale In Citi Housing Gujranwala On Your Ideal Location,4.8 Crore,48000000.0,10.0 Marla,10.0,https://www.zameen.com/Property/gujranwala_citi_housing_society_10_marla_ultra_modern_house_available_for_sale_in_citi_housing_gujranwala_on_your_ideal_location-54656843-3083-1.html,Gujranwala,House,5.0,6.0,"Citi Housing Society, Gujranwala, Punjab",4800000.0,Citi Housing Society,Citi Housing Society
